0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
  3.90, -1, -1, -1, -1, -1, -1, 88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
  5.90, -1, -1, -1, -1, -1, -1, 75, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
  6.05, -1, -1, -1, -1, -1, -1, 75, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  7.05, -1, -1, -1, -1, -1, -1, 26, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  7.15, -1, -1, -1, -1, -1, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  7.75, -1, -1, -1, -1, 140, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  7.95, -1, -1, -1, -1, 45, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.05, -1, -1, -1, -1, 20, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.30, 52, -1, -1, -1, 20, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.40, 52, -1, -1, -1, 98, -1, 117, -1, -1, -1, -1, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.45, 52, -1, -1, -1, 98, -1, 117, -1, -1, -1, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.55, 52, -1, -1, -1, 98, -1, 117, -1, -1, 42, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  8.90, 62, -1, -1, -1, 98, -1, 117, -1, -1, 42, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.10, 62, 49, -1, -1, 98, -1, 117, -1, -1, 42, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.35, 62, 49, -1, -1, 98, -1, 117, -1, -1, 135, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.55, 62, 49, -1, -1, 23, -1, 117, -1, -1, 135, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.60, 62, 49, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.65, 76, 49, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, -1, 
  9.75, 76, 49, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, 449, 
  9.95, 76, 49, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, 345, 
 10.10, 76, 102, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, 345, 
 10.30, 95, 102, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, -1, -1, -1, -1, -1, -1, -1, 345, 
 10.60, 95, 102, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, 453, -1, -1, -1, -1, -1, -1, 345, 
 10.65, 95, 102, -1, -1, 23, -1, 117, -1, -1, 89, 217, 76, 453, -1, -1, -1, -1, -1, -1, 376, 
 10.70, 95, 102, -1, -1, 23, -1, 117, -1, -1, 143, 217, 76, 453, -1, -1, -1, -1, -1, -1, 376, 
 10.75, 95, 102, -1, -1, 23, -1, 117, 79, -1, 143, 217, 76, 453, -1, -1, -1, -1, -1, -1, 376, 
