0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
  2.55, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 53, -1, -1, -1, -1, -1, 
  3.00, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, -1, -1, -1, -1, 
  4.60, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, -1, 
  5.20, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, -1, 
  6.05, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, -1, 
  6.35, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, -1, 
  7.15, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, 52, 
  8.85, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, -1, -1, -1, -1, 53, -1, 54, -1, -1, 52, 
  9.10, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, -1, -1, 53, -1, 54, -1, -1, 52, 
  9.35, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
  9.85, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 10.00, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 10.40, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 10.90, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 11.10, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 11.45, -1, -1, -1, -1, -1, -1, -1, -1, -1, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 11.50, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 12.10, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, -1, 53, -1, 54, -1, -1, 52, 
 12.45, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, -1, 53, -1, 53, -1, -1, 52, 
 12.80, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 12.85, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.00, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.10, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.20, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.25, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.55, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 13.95, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
 14.05, -1, -1, -1, -1, -1, -1, -1, -1, 135, 138, 52, -1, 52, 54, 53, -1, 53, -1, -1, 52, 
