0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
160.00, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 500, -1, -1, -1, -1, -1, 
160.05, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 498, -1, -1, 500, -1, -1, -1, -1, -1, 
160.10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 498, -1, 496, 500, -1, -1, -1, -1, -1, 
160.15, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 498, -1, 496, 500, -1, -1, -1, 494, -1, 
160.20, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 498, -1, 496, 500, -1, -1, -1, 494, -1, 
160.25, 1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, 498, -1, 496, 500, -1, -1, -1, 494, -1, 
160.30, 1, -1, -1, -1, -1, -1, -1, 3, -1, -1, -1, 498, 492, 496, 500, -1, -1, -1, 494, -1, 
160.35, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 498, 492, 496, 500, -1, -1, -1, 494, -1, 
160.40, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 498, 492, 496, 490, -1, -1, -1, 494, -1, 
160.45, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 488, 492, 496, 490, -1, -1, -1, 494, -1, 
160.50, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 488, 492, 496, 490, -1, -1, 486, 494, -1, 
160.55, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 488, 492, 496, 490, 484, -1, 486, 494, -1, 
160.60, 1, -1, -1, -1, -1, -1, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.65, 1, 7, -1, -1, -1, -1, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.70, 1, 7, -1, -1, -1, 9, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.75, 1, 7, -1, -1, 11, 9, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.80, 13, 7, -1, -1, 11, 9, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.85, 13, 15, -1, -1, 11, 9, 5, 3, -1, -1, -1, 488, 482, 496, 490, 484, -1, 486, 494, -1, 
160.90, 13, 15, -1, -1, 11, 9, 5, 3, -1, -1, -1, 488, 482, 496, 480, 484, -1, 486, 494, -1, 
160.95, 13, 15, -1, -1, 11, 9, 5, 3, 17, -1, -1, 488, 482, 496, 480, 484, -1, 486, 494, -1, 
161.00, 13, 15, -1, -1, 11, 9, 5, 3, 17, -1, 478, 488, 482, 496, 480, 484, -1, 486, 494, -1, 
161.05, 13, 15, -1, 19, 11, 9, 5, 3, 17, -1, 478, 488, 482, 496, 480, 484, -1, 486, 494, -1, 
161.10, 13, 15, -1, 19, 11, 9, 5, 3, 17, -1, 478, 488, 482, 496, 476, 484, -1, 486, 494, -1, 
161.15, 13, 15, -1, 19, 11, 9, 5, 21, 17, -1, 478, 488, 482, 496, 476, 484, -1, 486, 494, -1, 
161.20, 13, 15, -1, 19, 11, 9, 24, 21, 17, -1, 478, 488, 482, 496, 476, 484, -1, 486, 494, -1, 
161.25, 13, 15, -1, 19, 11, 9, 24, 21, 17, -1, 478, 488, 482, 496, 476, 473, -1, 486, 494, -1, 
161.30, 13, 15, -1, 19, 11, 9, 24, 21, 17, -1, 478, 488, 482, 496, 470, 473, -1, 486, 494, -1, 
161.35, 13, 15, -1, 19, 11, 9, 24, 21, 17, -1, 478, 488, 467, 496, 470, 473, -1, 486, 494, -1, 
161.40, 13, 15, -1, 19, 11, 9, 24, 21, 17, -1, 478, 464, 467, 496, 470, 473, -1, 486, 494, -1, 
161.45, 13, 15, -1, 19, 11, 27, 24, 21, 17, -1, 478, 464, 467, 496, 470, 473, -1, 486, 494, -1, 
161.50, 13, 15, -1, 19, 11, 27, 24, 21, 17, -1, 478, 464, 467, 496, 470, 473, 461, 486, 494, -1, 
161.55, 13, 15, -1, 19, 11, 27, 24, 21, 17, -1, 478, 464, 458, 496, 470, 473, 461, 486, 494, -1, 
161.60, 13, 15, -1, 19, 11, 27, 24, 21, 17, -1, 478, 455, 458, 496, 470, 473, 461, 486, 494, -1, 
161.65, 13, 15, -1, 19, 30, 27, 24, 21, 17, -1, 478, 455, 458, 496, 470, 473, 461, 486, 494, -1, 
161.70, 13, 15, -1, 19, 30, 27, 24, 33, 17, -1, 478, 455, 458, 496, 470, 473, 461, 486, 494, -1, 
161.75, 13, 15, -1, 19, 30, 27, 24, 33, 36, -1, 478, 455, 458, 496, 470, 473, 461, 486, 494, -1, 
161.80, 13, 15, -1, 19, 30, 27, 24, 33, 36, -1, 478, 455, 458, 496, 470, 473, 461, 486, 452, -1, 
161.85, 13, 15, -1, 19, 30, 27, 24, 33, 36, 39, 478, 455, 458, 496, 470, 473, 461, 486, 452, -1, 
